Name,Tm,PA,H,2B,3B,HR
Omar Narvaez*\narvaom01,SEA,482,119,12,0,22
Raimel Tapia*\tapiara01,COL,447,117,23,5,9
Marwin Gonzalez#\gonzama01,MIN,463,112,19,0,15
Niko Goodrum#\goodrni01,DET,472,105,27,5,12
Harold Ramirez\ramirha02,MIA,446,116,20,3,11
Robbie Grossman#\grossro01,OAK,482,101,21,3,6
Yadier Molina\molinya01,STL,452,113,24,0,10
Brandon Drury\drurybr01,TOR,447,91,21,1,15
Edwin Encarnacion\encared01,TOT,486,102,18,0,34
Teoscar Hernandez\hernate01,TOR,464,96,19,2,26
Matt Carpenter*\carpema01,STL,492,94,20,2,15
Brian Dozier\doziebr01,WSN,482,99,20,0,20
Adalberto Mondesi#\mondera02,KCR,443,109,20,10,9
Enrique Hernandez\hernaen02,LAD,460,98,19,1,17
Nick Markakis*\markani01,ATL,469,118,25,2,9
Justin Smoak#\smoakju01,TOR,500,86,16,0,22
Brian Goodwin*\goodwbr01,LAA,458,108,29,3,17
Mark Canha\canhama01,OAK,497,112,16,3,26
Ji-Man Choi*\choiji01,TBR,487,107,20,2,19
J.D. Davis\davisjd01,NYM,453,126,22,1,22
Buster Posey\poseybu01,SFG,445,104,24,0,7
Jarrod Dyson*\dysonja01,ARI,452,92,11,2,7
Manuel Margot\margoma01,SDP,441,93,19,3,12
Andrelton Simmons\simmoan01,LAA,424,105,19,0,7
Gary Sanchez\sanchga02,NYY,446,92,12,1,34
Eric Sogard*\sogarer01,TOT,442,115,23,2,13
Eric Thames*\thameer01,MIL,459,98,23,2,25
Dee Gordon*\gordode01,SEA,421,108,12,6,3
Kyle Seager*\seageky01,SEA,443,94,19,1,23
Brandon Dixon\dixonbr01,DET,420,97,20,4,15
Robinson Cano*\canoro01,NYM,423,100,28,0,13
Maikel Franco\francma02,PHI,428,91,17,0,17
Roberto Perez\perezro02,CLE,449,93,9,1,24
Shohei Ohtani*\ohtansh01,LAA,425,110,20,5,18
David Peralta*\peralda01,ARI,423,105,29,3,12
Garrett Cooper\coopega03,MIA,421,107,16,1,15
Miguel Sano\sanomi01,MIN,439,94,19,2,34
Anthony Santander#\santaan02,BAL,405,99,20,1,20
Nicky Lopez*\lopezni01,KCR,402,91,22,2,2
Melky Cabrera#\cabreme01,PIT,397,106,22,1,7
Aaron Judge\judgeaa01,NYY,447,103,18,1,27
Jose Peraza\perazjo01,CIN,403,90,18,2,6
Nick Senzel\senzeni01,CIN,414,96,20,4,12
David Dahl*\dahlda01,COL,413,113,28,5,15
Jake Bauers*\bauerja01,CLE,423,84,16,1,12
Mike Yastrzemski*\yastrmi01,SFG,411,101,22,3,21
Rio Ruiz*\ruizri01,BAL,413,86,13,2,12
Rowdy Tellez*\tellero01,TOR,409,84,19,0,21
Christin Stewart*\stewach02,DET,416,86,25,1,10
Robinson Chirinos\chiriro01,HOU,437,87,22,1,17
Chris Taylor\tayloch03,LAD,414,96,29,4,12
Willson Contreras\contrwi01,CHC,409,98,18,2,24
Tony Wolters*\wolteto01,COL,411,94,17,2,1
Delino DeShields\deshide02,TEX,408,89,15,4,4
Stephen Piscotty\piscost01,OAK,393,89,17,1,13
Luis Rengifo#\rengilu01,LAA,406,85,18,3,7
Dwight Smith Jr.*\smithdw02,BAL,392,86,16,3,13
Cavan Biggio*\biggica01,TOR,430,83,17,2,16
Harold Castro*\castrha01,DET,369,103,10,4,5
Travis d'Arnaud\darnatr01,TOT,391,88,16,0,16
Harrison Bader\baderha01,STL,406,71,14,3,12
Michael Chavis\chavimi01,BOS,382,88,10,1,18
Danny Jansen\janseda01,TOR,384,72,12,1,13
J.P. Crawford*\crawfjp01,SEA,396,78,21,4,7
Alex Verdugo*\verdual01,LAD,377,101,22,2,12
Chad Pinder\pindech01,OAK,370,82,21,0,13
Albert Almora\almoral01,CHC,363,80,11,1,12
Jesse Winker*\winkeje01,CIN,384,91,17,2,16
Neil Walker#\walkene01,MIA,381,88,19,1,8
Jeimer Candelario#\candeje01,DET,386,68,17,2,8
Howie Kendrick\kendrho01,WSN,370,115,23,1,17
Jose Martinez\martijo08,STL,373,90,13,2,10
Fernando Tatis Jr.\tatisfe02,SDP,372,106,13,6,22
Martin Maldonado\maldoma01,TOT,374,71,19,0,12
Stevie Wilkerson#\wilkest01,BAL,361,74,18,2,10
Ryan O'Hearn*\ohearry01,KCR,370,64,13,1,14
Luis Arraez*\arraelu01,MIN,366,109,20,1,4
Tommy Edman#\edmanto01,STL,349,99,17,7,11
Didi Gregorius*\gregodi01,NYY,344,77,14,2,16
John Hicks\hicksjo02,DET,333,67,15,0,13
Logan Forsythe\forsylo01,TEX,367,72,17,1,7
Curtis Granderson*\grandcu01,MIA,363,58,17,1,12
Tucker Barnhart#\barnhtu01,CIN,364,73,14,0,11
Billy Hamilton#\hamilbi02,TOT,353,69,14,2,0
Jesus Aguilar\aguilje01,TOT,369,74,12,0,12
Yan Gomes\gomesya01,WSN,358,70,16,0,12
Lourdes Gurriel Jr.\gurrilo01,TOR,343,87,19,2,20
Keston Hiura\hiurake01,MIL,348,95,23,2,19
Carson Kelly\kellyca02,ARI,365,77,19,0,18
Josh Phegley\phegljo01,OAK,342,75,18,0,12
Yordan Alvarez*\alvaryo01,HOU,369,98,26,0,27
Austin Hedges\hedgeau01,SDP,347,55,9,0,11
Ben Gamel*\gamelbe01,MIL,356,77,18,0,7
Greg Garcia*\garcigr01,SDP,372,77,13,4,4
Mitch Garver\garvemi01,MIN,359,85,16,1,31
Matt Adams*\adamsma01,WSN,333,70,14,0,20
Jay Bruce*\bruceja01,TOT,333,67,17,0,26
Willie Calhoun*\calhowi01,TEX,337,83,14,1,21
Cheslor Cuthbert\cuthbch01,KCR,330,76,14,0,9
A.J. Pollock\polloaj01,LAD,342,82,15,1,15
Chris Davis*\davisch02,BAL,352,55,9,0,12
Yandy Diaz\diazya01,TBR,347,82,20,1,14
Pedro Severino\severpe01,BAL,341,76,13,0,13
Tim Beckham\beckhti01,SEA,328,72,21,1,15
David Bote\boteda01,CHC,356,78,17,0,11
Elias Diaz\diazel01,PIT,332,73,14,0,2
Garrett Hampson\hampsga01,COL,327,74,9,4,8
JaCoby Jones\jonesja07,DET,333,70,19,3,11
Mitch Moreland*\morelmi01,BOS,335,75,17,1,19
Brandon Lowe*\lowebr01,TBR,327,80,17,2,17
Jonathan Lucroy\lucrojo01,TOT,328,68,10,1,8
Yonder Alonso*\alonsyo01,TOT,335,58,13,0,10
Tommy La Stella*\lasteto01,LAA,321,86,8,0,16
Jake Marisnick\marisja01,HOU,318,68,16,3,10
Hunter Pence\pencehu01,TEX,316,85,17,1,18
Richie Martin\martiri01,BAL,309,59,8,3,6
Carlos Correa\correca01,HOU,321,78,16,1,21
Kurt Suzuki\suzukku01,WSN,309,74,11,0,17
Brian McCann*\mccanbr01,ATL,316,69,9,0,12
Victor Reyes#\reyesvi01,DET,292,84,16,5,3
Ronny Rodriguez\rodriro03,DET,294,61,12,3,14
Tyler Naquin*\naquity01,CLE,294,79,19,0,10
Gerardo Parra*\parrage01,TOT,301,64,14,1,9
